,Player.o,for.o,Credit_Points.o,Type.o,Bowler_Ranking,Factor_bowling_score,,,
1,a_mishra,DC,8.5,Bowler,16,2.424648588,,,
2,a_nortje,DC,8,Bowler,NA,NA,,,
3,a_zampa,RCB,8.5,Bowler,114,-0.187912884,,,
4,aj_tye,RR,8,Bowler,42,1.022303274,,,
5,arshdeep_singh,KXIP,8.5,Bowler,211,-0.679815614,,,
6,as_rajpoot,RR,8,Bowler,60,0.609976693,,,
7,avesh_khan,DC,8,Bowler,102,-0.044788832,,,
8,b_kumar,SRH,9,Bowler,1,3.855043994,,,
9,basil_thampi,SRH,8,Bowler,69,0.438596689,,,
10,cj_green,KKR,8.5,Bowler,NA,NA,,,
11,cj_jordan,KXIP,8.5,Bowler,94,0.054536452,,,
12,cv_varun,KKR,8.5,Bowler,229,-0.730485911,,,
13,dl_chahar,CSK,8.5,Bowler,36,1.300906819,,,HH Pandya 
14,dw_steyn,RCB,7.5,Bowler,111,-0.175158949,,,JJ Bumrah 
15,gurkeerat_singh,RCB,7.5,Bowler,139,-0.322390673,,,JL Pattinson 
16,harpreet_brar,KXIP,7.5,Bowler,251,-0.802159952,,,KA Pollard 
17,hv_patel,DC,8,Bowler,37,1.251399007,,,KH Pandya 
18,i_sharma,SRH,8.5,Bowler,43,1.010466122,,,Q de Kock 
19,i_udana,RCB,8.5,Bowler,NA,NA,,,RD Chahar 
20,jc_arher,RR,9,Bowler,68,0.451306426,,,RG Sharma 
21,jd_unadkat,RR,8.5,Bowler,21,2.118109605,,,SA Yadav 
22,jj_bumrah,MI,9,Bowler,5,3.003932473,,,SS Tiwary 
23,jl_pattinson,MI,8,Bowler,NA,NA,,,TA Boult 
24,jr_hazlewood,CSK,8.5,Bowler,NA,NA,,,
25,k_rabada,DC,9,Bowler,73,0.358758185,,,
26,kartik_tyagi,RR,8,Bowler,NA,NA,,,
27,kk_ahmed,SRH,8,Bowler,117,-0.195898243,,,
28,kl_nagarkoti,KKR,8,Bowler,NA,NA,,,
29,kuldeep_yadav,MI,8.5,Bowler,26,1.6470948,,,
30,kv_sharma,CSK,8,Bowler,35,1.302133453,,,
31,l_ngidi,CSK,8.5,Bowler,142,-0.346547855,,,
32,lh_ferguson,KKR,8.5,Bowler,105,-0.076060568,,,
33,m_ashwin,KXIP,8,Bowler,66,0.468556576,,,
34,m_prasidh_krishna,KKR,8,Bowler,71,0.397113084,,,
35,mm_sharma,DC,7.5,Bowler,17,2.400408464,,,
36,mohammed_shami,KXIP,8.5,Bowler,30,1.450426444,,,
37,mohammed_siraj,RCB,8.5,Bowler,44,1.000729326,,,
38,mujeeb_ur_rahman,KXIP,8,Bowler,84,0.20061762,,,
39,na_saini,RCB,8.5,Bowler,122,-0.234323986,,,
40,nm_coulter-nile,MI,8.5,Bowler,57,0.739729505,,,
41,pj_cummins,MI,9,Bowler,85,0.18991277,,,
42,pp_chawla,CSK,8.5,Bowler,15,2.426679501,,,
43,r_ashwin,DC,8,Bowler,19,2.142413748,,,
44,rashid_khan,SRH,9.5,Bowler,24,1.849476635,,,
45,ravi_bishnoi,KXIP,8,Bowler,NA,NA,,,
46,rd_chahar,MI,8,Bowler,98,-0.013116301,,,
47,s_gopal,RR,8.5,Bowler,54,0.781858051,,,
48,s_kaul,SRH,8,Bowler,34,1.357377031,,,
49,s_nadeem,SRH,8,Bowler,47,0.920528735,,,
50,s_sandeep_warrier,MI,7.5,Bowler,199,-0.634305146,,,
51,sandeep_sharma,SRH,8,Bowler,3,3.120052212,,,
52,shahbaz_ahmed,RCB,8,Bowler,NA,NA,,,
53,shivam_mavi,MI,8,Bowler,130,-0.265319376,,,
54,sn_thakur,CSK,8.5,Bowler,29,1.459079281,,,
55,ss_cottrell,KXIP,8.5,Bowler,NA,NA,,,
56,t_natarajan,SRH,8,Bowler,179,-0.533270689,,,
57,ta_boult,MI,8.5,Bowler,27,1.643581021,,,
58,tu_deshpande,DC,8,Bowler,NA,NA,,,
59,ut_yadav,RCB,8.5,Bowler,6,2.821526195,,,
60,vr_aaron,RR,8,Bowler,51,0.894122973,,,
61,ys_chahal,RCB,9,Bowler,2,3.286209657,,,
